Odkaz,Zápas,Domácí,Hosté,SkóreFT,SkóreHT,Diváků
http://www.gambrinusliga.cz/c/kao/000_vysledky/001/001A1A0101_Zapis.html,A1A0101,Bohemians 1905,Slavia Praha,2:0,2:0,7545
http://www.gambrinusliga.cz/c/kao/000_vysledky/001/001A1A0102_Zapis.html,A1A0102,Dukla Praha,Sigma Olomouc,0:0,0:0,3857
http://www.gambrinusliga.cz/c/kao/000_vysledky/001/001A1A0103_Zapis.html,A1A0103,Jablonec,Mladá Boleslav,0:0,0:0,3120
http://www.gambrinusliga.cz/c/kao/000_vysledky/001/001A1A0104_Zapis.html,A1A0104,České Budějovice,Sparta Praha,2:4,0:1,6029
http://www.gambrinusliga.cz/c/kao/000_vysledky/001/001A1A0105_Zapis.html,A1A0105,Baník Ostrava,Teplice,3:4,3:3,4458
http://www.gambrinusliga.cz/c/kao/000_vysledky/001/001A1A0106_Zapis.html,A1A0106,Slovácko,Příbram,2:3,0:0,4823
http://www.gambrinusliga.cz/c/kao/000_vysledky/001/001A1A0107_Zapis.html,A1A0107,Viktoria Plzeň,Slovan Liberec,2:2,2:1,3740
http://www.gambrinusliga.cz/c/kao/000_vysledky/001/001A1A0108_Zapis.html,A1A0108,Hradec Králové,Viktoria Žižkov,1:0,1:0,5820
http://www.gambrinusliga.cz/c/kao/000_vysledky/001/001A1A0201_Zapis.html,A1A0201,Bohemians 1905,Viktoria Plzeň,2:1,1:1,3023
http://www.gambrinusliga.cz/c/kao/000_vysledky/001/001A1A0202_Zapis.html,A1A0202,Dukla Praha,České Budějovice,4:2,1:1,2123
http://www.gambrinusliga.cz/c/kao/000_vysledky/001/001A1A0203_Zapis.html,A1A0203,Slovan Liberec,Slavia Praha,2:1,2:0,7967
http://www.gambrinusliga.cz/c/kao/000_vysledky/001/001A1A0204_Zapis.html,A1A0204,Příbram,Viktoria Žižkov,2:1,0:1,3272
http://www.gambrinusliga.cz/c/kao/000_vysledky/001/001A1A0205_Zapis.html,A1A0205,Teplice,Hradec Králové,0:3,0:2,3962
http://www.gambrinusliga.cz/c/kao/000_vysledky/001/001A1A0206_Zapis.html,A1A0206,Mladá Boleslav,Slovácko,1:0,0:0,2614
http://www.gambrinusliga.cz/c/kao/000_vysledky/001/001A1A0207_Zapis.html,A1A0207,Sigma Olomouc,Baník Ostrava,3:0,2:0,5379
http://www.gambrinusliga.cz/c/kao/000_vysledky/001/001A1A0208_Zapis.html,A1A0208,Sparta Praha,Jablonec,2:1,2:1,9913
http://www.gambrinusliga.cz/c/kao/000_vysledky/001/001A1A0301_Zapis.html,A1A0301,Jablonec,Bohemians 1905,5:0,2:0,4155
http://www.gambrinusliga.cz/c/kao/000_vysledky/001/001A1A0302_Zapis.html,A1A0302,České Budějovice,Sigma Olomouc,1:2,0:0,2682
http://www.gambrinusliga.cz/c/kao/000_vysledky/001/001A1A0303_Zapis.html,A1A0303,Baník Ostrava,Mladá Boleslav,1:4,0:1,2913
http://www.gambrinusliga.cz/c/kao/000_vysledky/001/001A1A0304_Zapis.html,A1A0304,Slovácko,Sparta Praha,0:2,0:1,7638
http://www.gambrinusliga.cz/c/kao/000_vysledky/001/001A1A0305_Zapis.html,A1A0305,Viktoria Plzeň,Teplice,2:0,0:0,5213
http://www.gambrinusliga.cz/c/kao/000_vysledky/001/001A1A0306_Zapis.html,A1A0306,Hradec Králové,Slovan Liberec,0:3,0:0,7220
http://www.gambrinusliga.cz/c/kao/000_vysledky/001/001A1A0307_Zapis.html,A1A0307,Slavia Praha,Příbram,3:1,1:1,80
http://www.gambrinusliga.cz/c/kao/000_vysledky/001/001A1A0308_Zapis.html,A1A0308,Viktoria Žižkov,Dukla Praha,1:0,1:0,4081
http://www.gambrinusliga.cz/c/kao/000_vysledky/001/001A1A0401_Zapis.html,A1A0401,Bohemians 1905,České Budějovice,2:1,1:0,2218
http://www.gambrinusliga.cz/c/kao/000_vysledky/001/001A1A0402_Zapis.html,A1A0402,Dukla Praha,Viktoria Plzeň,2:4,0:2,2857
http://www.gambrinusliga.cz/c/kao/000_vysledky/001/001A1A0403_Zapis.html,A1A0403,Jablonec,Baník Ostrava,4:0,4:0,3650
http://www.gambrinusliga.cz/c/kao/000_vysledky/001/001A1A0404_Zapis.html,A1A0404,Příbram,Slovan Liberec,2:3,1:0,2938
http://www.gambrinusliga.cz/c/kao/000_vysledky/001/001A1A0405_Zapis.html,A1A0405,Teplice,Slavia Praha,0:0,0:0,8586
http://www.gambrinusliga.cz/c/kao/000_vysledky/001/001A1A0406_Zapis.html,A1A0406,Mladá Boleslav,Viktoria Žižkov,2:0,2:0,3516
http://www.gambrinusliga.cz/c/kao/000_vysledky/001/001A1A0407_Zapis.html,A1A0407,Sigma Olomouc,Slovácko,1:1,0:0,5967
http://www.gambrinusliga.cz/c/kao/000_vysledky/001/001A1A0408_Zapis.html,A1A0408,Sparta Praha,Hradec Králové,1:0,1:0,10501
http://www.gambrinusliga.cz/c/kao/000_vysledky/001/001A1A0501_Zapis.html,A1A0501,České Budějovice,Jablonec,1:5,1:2,2678
http://www.gambrinusliga.cz/c/kao/000_vysledky/001/001A1A0502_Zapis.html,A1A0502,Baník Ostrava,Bohemians 1905,0:1,0:1,4309
http://www.gambrinusliga.cz/c/kao/000_vysledky/001/001A1A0503_Zapis.html,A1A0503,Slovácko,Dukla Praha,1:0,0:0,4576
http://www.gambrinusliga.cz/c/kao/000_vysledky/001/001A1A0504_Zapis.html,A1A0504,Viktoria Plzeň,Sparta Praha,0:2,0:2,8415
http://www.gambrinusliga.cz/c/kao/000_vysledky/001/001A1A0505_Zapis.html,A1A0505,Hradec Králové,Příbram,0:1,0:0,5036
http://www.gambrinusliga.cz/c/kao/000_vysledky/001/001A1A0506_Zapis.html,A1A0506,Slavia Praha,Mladá Boleslav,1:1,1:0,7158
http://www.gambrinusliga.cz/c/kao/000_vysledky/001/001A1A0507_Zapis.html,A1A0507,Viktoria Žižkov,Sigma Olomouc,2:2,2:1,2460
http://www.gambrinusliga.cz/c/kao/000_vysledky/001/001A1A0508_Zapis.html,A1A0508,Slovan Liberec,Teplice,0:2,0:0,4750
http://www.gambrinusliga.cz/c/kao/000_vysledky/001/001A1A0601_Zapis.html,A1A0601,Bohemians 1905,Slovácko,1:1,0:0,2329
http://www.gambrinusliga.cz/c/kao/000_vysledky/001/001A1A0602_Zapis.html,A1A0602,Dukla Praha,Hradec Králové,4:0,1:0,1875
http://www.gambrinusliga.cz/c/kao/000_vysledky/001/001A1A0603_Zapis.html,A1A0603,Jablonec,Slavia Praha,4:0,1:0,5450
http://www.gambrinusliga.cz/c/kao/000_vysledky/001/001A1A0604_Zapis.html,A1A0604,České Budějovice,Baník Ostrava,0:0,0:0,3314
http://www.gambrinusliga.cz/c/kao/000_vysledky/001/001A1A0605_Zapis.html,A1A0605,Teplice,Příbram,2:1,0:0,3920
http://www.gambrinusliga.cz/c/kao/000_vysledky/001/001A1A0606_Zapis.html,A1A0606,Mladá Boleslav,Slovan Liberec,1:4,0:2,2741
http://www.gambrinusliga.cz/c/kao/000_vysledky/001/001A1A0607_Zapis.html,A1A0607,Sigma Olomouc,Viktoria Plzeň,2:3,1:2,7144
http://www.gambrinusliga.cz/c/kao/000_vysledky/001/001A1A0608_Zapis.html,A1A0608,Sparta Praha,Viktoria Žižkov,4:1,2:0,10601
http://www.gambrinusliga.cz/c/kao/000_vysledky/001/001A1A0701_Zapis.html,A1A0701,Baník Ostrava,Sparta Praha,0:2,0:1,7099
http://www.gambrinusliga.cz/c/kao/000_vysledky/001/001A1A0702_Zapis.html,A1A0702,Slovácko,České Budějovice,2:0,0:0,4950
http://www.gambrinusliga.cz/c/kao/000_vysledky/001/001A1A0703_Zapis.html,A1A0703,Viktoria Plzeň,Jablonec,4:2,1:2,5810
http://www.gambrinusliga.cz/c/kao/000_vysledky/001/001A1A0704_Zapis.html,A1A0704,Hradec Králové,Bohemians 1905,2:0,1:0,4890
http://www.gambrinusliga.cz/c/kao/000_vysledky/001/001A1A0705_Zapis.html,A1A0705,Slavia Praha,Dukla Praha,0:0,0:0,6671
http://www.gambrinusliga.cz/c/kao/000_vysledky/001/001A1A0706_Zapis.html,A1A0706,Viktoria Žižkov,Teplice,0:1,0:0,3112
http://www.gambrinusliga.cz/c/kao/000_vysledky/001/001A1A0707_Zapis.html,A1A0707,Slovan Liberec,Sigma Olomouc,1:1,1:1,4930
http://www.gambrinusliga.cz/c/kao/000_vysledky/001/001A1A0708_Zapis.html,A1A0708,Příbram,Mladá Boleslav,2:0,2:0,2916
http://www.gambrinusliga.cz/c/kao/000_vysledky/001/001A1A0801_Zapis.html,A1A0801,Bohemians 1905,Slovan Liberec,1:1,1:1,2666
http://www.gambrinusliga.cz/c/kao/000_vysledky/001/001A1A0802_Zapis.html,A1A0802,Dukla Praha,Příbram,2:1,1:1,1858
http://www.gambrinusliga.cz/c/kao/000_vysledky/001/001A1A0803_Zapis.html,A1A0803,Jablonec,Viktoria Žižkov,3:1,1:1,4050
http://www.gambrinusliga.cz/c/kao/000_vysledky/001/001A1A0804_Zapis.html,A1A0804,České Budějovice,Viktoria Plzeň,0:0,0:0,3295
http://www.gambrinusliga.cz/c/kao/000_vysledky/001/001A1A0805_Zapis.html,A1A0805,Baník Ostrava,Slovácko,0:1,0:0,4357
http://www.gambrinusliga.cz/c/kao/000_vysledky/001/001A1A0806_Zapis.html,A1A0806,Mladá Boleslav,Hradec Králové,1:1,0:0,3158
http://www.gambrinusliga.cz/c/kao/000_vysledky/001/001A1A0807_Zapis.html,A1A0807,Sigma Olomouc,Teplice,1:0,0:0,4660
http://www.gambrinusliga.cz/c/kao/000_vysledky/001/001A1A0808_Zapis.html,A1A0808,Sparta Praha,Slavia Praha,3:0,2:0,18299
http://www.gambrinusliga.cz/c/kao/000_vysledky/001/001A1A0901_Zapis.html,A1A0901,Slovácko,Jablonec,1:0,0:0,4458
